Game	Date	PA	AB	R	H
1	3-Apr	5	5	1	3
2	5-Apr	4	4	0	1
3	6-Apr	4	4	0	1
4	7-Apr	4	3	0	0
5	Apr 9 (1)	4	4	0	1
6	Apr 9 (2)	4	4	0	0
7	10-Apr	4	3	1	0
8	12-Apr	4	3	1	0
9	13-Apr	5	4	2	2
10	14-Apr	5	5	2	3
11	15-Apr	5	5	0	0
12	16-Apr	4	4	0	0
13	18-Apr	4	3	0	0
14	19-Apr	5	3	1	2
15	20-Apr	4	4	0	2
16	21-Apr	4	4	0	0
17	23-Apr	1	1	0	0
18	24-Apr	4	4	3	3
19	25-Apr	5	4	1	1
20	26-Apr	5	4	1	3
21	27-Apr	4	4	1	1
22	28-Apr	4	4	0	0
23	29-Apr	4	4	0	1
24	30-Apr	1	1	0	0
25	1-May	5	4	1	1
26	2-May	5	4	2	2
27	3-May	4	4	2	2
28	4-May	4	4	0	2
29	5-May	5	5	3	3
30	6-May	4	3	1	2
31	7-May	5	5	0	2
32	9-May	5	3	0	0
33	10-May	4	3	1	1
34	11-May	3	3	1	1
35	12-May	5	4	0	1
36	13-May	4	3	1	0
37	14-May	6	6	0	1
38	16-May	4	3	1	1
39	17-May	5	3	1	1
40	18-May	5	4	1	1
41	19-May	4	4	0	1
42	20-May	5	4	2	1
43	21-May	5	5	2	3
44	23-May	8	6	1	3
45	24-May	5	4	1	1
46	25-May	5	5	2	4
47	26-May	5	5	0	1
48	27-May	5	4	1	0
49	28-May	5	5	1	2
50	29-May	5	4	2	2
51	30-May	4	4	1	1
52	31-May	4	4	0	0
53	1-Jun	4	4	0	1
54	2-Jun	5	4	3	4
55	3-Jun	5	5	0	0
56	4-Jun	5	5	2	3
57	5-Jun	5	5	1	2
58	6-Jun	5	3	2	0
59	7-Jun	5	4	1	0
60	8-Jun	4	4	0	1
61	9-Jun	6	6	1	1
62	10-Jun	5	4	0	0
63	11-Jun	4	4	0	0
64	13-Jun	5	5	0	2
65	14-Jun	4	4	1	1
66	15-Jun	4	4	0	0
67	16-Jun	4	4	0	0
69	18-Jun	5	5	3	2
70	19-Jun	4	2	1	0
71	20-Jun	5	4	1	1
72	21-Jun	4	4	0	0
73	23-Jun	4	4	1	1
74	24-Jun	5	5	1	1
75	26-Jun	7	6	1	1
76	Jun 28 (1)	5	4	1	2
77	Jun 28 (2)	4	4	1	2
78	29-Jun	4	4	1	2
79	30-Jun	4	3	0	1
80	1-Jul	5	5	0	2
81	2-Jul	6	5	2	3
82	4-Jul	4	4	1	3
83	5-Jul	4	4	0	1
84	6-Jul	4	4	2	2
85	7-Jul	4	4	0	1
86	8-Jul	5	5	1	3
87	9-Jul	5	5	1	2
88	14-Jul	4	3	0	1
89	15-Jul	6	5	1	2
90	16-Jul	5	5	1	2
91	17-Jul	5	5	2	2
92	18-Jul	5	3	1	1
93	19-Jul	5	4	1	2
94	21-Jul	5	4	0	1
95	23-Jul	4	4	0	1
96	24-Jul	5	3	2	2
97	25-Jul	6	6	2	2
98	26-Jul	5	5	1	2
99	27-Jul	5	4	2	2
100	28-Jul	4	2	0	1
101	29-Jul	5	5	2	2
102	Jul 30 (1)	5	5	2	2
103	Jul 30 (2)	4	4	2	2
104	31-Jul	3	3	0	1
105	1-Aug	5	5	1	2
106	2-Aug	6	6	1	2
107	3-Aug	6	6	1	3
108	4-Aug	5	5	0	0
109	5-Aug	1	1	0	1
110	6-Aug	4	4	0	2
111	7-Aug	5	5	1	0
112	8-Aug	4	2	0	1
113	9-Aug	5	5	1	2
114	11-Aug	7	6	1	2
115	12-Aug	5	4	0	0
116	13-Aug	6	6	0	1
117	14-Aug	4	4	1	2
118	15-Aug	5	4	2	1
119	16-Aug	4	4	0	1
120	17-Aug	4	4	1	2
121	18-Aug	4	3	1	0
122	19-Aug	5	2	1	0
123	20-Aug	4	4	0	0
124	21-Aug	5	4	1	2
126	23-Aug	4	3	0	0
127	24-Aug	3	3	1	1
128	25-Aug	4	4	1	2
129	26-Aug	4	2	1	0
130	28-Aug	4	3	0	0
131	29-Aug	5	5	0	0
132	30-Aug	5	5	1	1
133	31-Aug	5	5	0	0
134	Sep 2 (1)	5	5	2	2
135	Sep 2 (2)	5	4	2	2
136	Sep 3 (1)	4	4	0	0
137	Sep 3 (2)	5	4	1	0
138	4-Sep	5	4	1	1
139	6-Sep	4	3	0	0
140	7-Sep	6	6	1	2
141	8-Sep	4	4	0	0
142	9-Sep	6	4	2	3
143	10-Sep	4	4	0	0
144	Sep 13 (1)	4	3	1	0
145	Sep 13 (2)	5	5	0	1
146	14-Sep	5	5	1	2
147	15-Sep	4	3	1	0
148	16-Sep	5	5	0	1
149	17-Sep	5	5	0	1
150	18-Sep	5	4	0	1
151	19-Sep	5	5	0	2
152	20-Sep	5	4	1	1
153	22-Sep	5	4	2	3
154	23-Sep	5	5	3	4
155	24-Sep	5	4	2	3
156	25-Sep	5	4	0	0
157	26-Sep	5	5	1	3
158	27-Sep	7	6	1	3
159	28-Sep	4	4	0	1
160	29-Sep	5	5	1	1
161	30-Sep	5	3	0	0
162	1-Oct	5	4	1	1
